RANK,SONG,ARTIST,YEAR,WEIGHT,SENT,DECADE,LYRICS
12,everything is beautiful,ray stevens,1970,89,2,70, jesus loves the little children all the children of the world whether yellow black and white they are precious in his sight jesus loves the little children of the worldeverything is beautiful in its own way like a starry summer night or a snow covered winters day and everybodys beautiful in their own way under gods heaven the worlds gonna find a waythere is none so blind as he who will not see we must not close our minds we must let our thoughts be freefor every hour that passes by you know the world gets a little bit older its time to realize that beauty lies in the eyes of the beholderand everything is beautiful in its own way like a starry summer night or a snow covered winters day everybodys beautiful in their own way under gods heaven the worlds gonna find a waywe shouldnt care about the length of his hair of the color of his skin dont worry about what shows from without but the love that lives withinand were gonna get it all together now everythings gonna work out fine just take a little time to the look on the good side my friend and straighten it out in your mindand everything is beautiful in its own way like a starry summer night or a snow covered winters day everybodys beautiful in their own way under gods heaven the worlds gonna find a wayand everything is beautiful in its own way like a starry summer night on a snow covered winters day 
13,make it with you,bread,1970,88,1,70, hey have you ever tried really reaching out for the other side i may be climbing on rainbows but baby here goesdreams are for those who sleep life is for us to keep and if youre wondering what this song is leading to i want to make it with youi really think that we could make it girlthough you dont know me well and every little thing only time will tell if you believe the things that i do and well see it throughlife can be short or long love can be right or wrong and if i chose the one id like to help me through id like to make it with youi really think that we could make it girlbaby you know that dreams there for those who sleep life is for us to keep and if i chose the one id like to help me through id like to make it with youi really think that we could make it girl 
14,hitchin a ride,vanity fare,1970,87,1,70, a thumb goes up a car goes by its nearly 1 am and here am i hitchin a ride hitchin a ride gotta get me home by the morning lighti got no fare to ride a train im nearly drownin in the pouring rain hitchin a ride hitchin a ride gotta get me home to my babys sideride ride ride hitchin a ride ride ride ride hitchin a ridelong distance call i got today she sounded lonely so im on my way hitchin a ride hitchin a ride gotta get me home keep her satisfiedride ride ride hitchin a ride ride ride ride hitchin a ridea thumb goes up a car goes by oh wont somebody stop and help a guy hitchin a ride hitchin a ride been away too long from my babys sideride ride ride hitchin a ride ride ride ride hitchin a rideride ride ride hitchin a ride ride ride ride hitchin a rideride ride ride ride ride ride ride ride ride ride 
15,abc,the jackson 5,1970,86,2,70,you went to school to learn girl things you never never knew before i before e except after c and why two plus two makes four now now now im gonna teach you teach you teach you all about love dear all about love sit yourself down take a seat all you gotta do is repeat after me a b c easy as one two three are simple as do re mi a b c one two three baby you and me girl a b c easy as one two three are simple as do re mi a b c one two three baby you and me girl come on let me love you just a little bit come on let me love you just a little bit im a gonna teach how to sing it out come on come one come on let me show you what its all about reading and writing arithmetic are the branches of the learning tree but listen without the roots of love every day girl your education aint complete tttteachers gonna show you show you show you how to get an a spell me you add the two listen to me baby thats all you gotta do a b c is easy as one two three are simple as do re mi a b c one two three baby you and me girl a b c is easy as like counting up to three sing a simple melody thats how easy love can be thats how easy love can be sing a simple melody one two three you and me sit down girl i think i love you no get up girl show me what you can do shake it shake it baby come on now shake it shake it baby ooh shake it shake it baby one two three baby oo oo a b c baby and now do re mi baby now thats how easy love can be a b c is easy as like counting up to three sing a simple melody thats how easy love can be now im gonna teach you how to sing it out come on come on come on let me show you what its all about a b c is easy as like counting up to three sing a simple melody thats how easy love can be now im gonna teach you how to sing it out sing it out sing it out sing it out a b c is easy its like counting up to three sing a simple melody thats how easy love can be
16,the love you save,the jackson 5,1970,85,1,70,stop na na na youd better save it stop stop stop youd better save it when we played tag in grade school you wanted to be it but chasin boys was just a fad you crossed your heart you quit when we grew up you traded your promise for my ring now just like back to grade school youre doin the same old thing stop the love you save may be your own darlin take it slow or some day youll be all alone youd better stop the love you save may be your own darlin look both ways before you cross me youre headed for the danger zone im the one who loves you im the one you need those other guys will put you down as soon as they succeed theyll ruin your reputation theyll label you a flirt the way they talk about you theyll turn your name to dirt oh isaac said he kissed you beneath the apple tree when benjie held your hand he felt electricity when alexander called you he said he rang your chimes christopher discovered youre way ahead of your times stop the love you save may be your own darlin take it slow or some day youll be all alone youd better stop the love you save may be your own darlin look both ways before you cross me youre headed for a danger zone slow down slow down slow down slow down s is for save it t is for take it slow o is for oh no p is for please please dont go the love you save may be your own some day you may be all alone stop it save it girl baby ooo you better stop the love you save may be your own please please or some day some day baby youll be all alone im the one who loves you im the one you need those other guys will put you down as soon as they succeed oh stop the love you save may be your own baby youd better stop it stop it stop it girl or someday youll be all alone the way they talk about you theyll turn your name turn your name to dirt stop the love you save may be your own dont you know dont you know some day baby youll be all alone those other guys will put you down as soon as they succeed stop the love you save may be your own
17,cracklin rosie,neil diamond,1970,84,3,70, you got me runnin goin out of my mind you got me thinkin that im wastin my time dont bring me down no no no no no ill tell you once more before i get off the floor dont bring me downyou wanna stay out with your fancy friends im tellin you its gotta be the end dont bring me down no no no no no ill tell you once more before i get off the floor dont bring me downdont bring me down gross dont bring me down gross dont bring me down gross dont bring me downwhat happened to the girl i used to know you let your mind out somewhere down the road dont bring me down no no no no no ill tell you once more before i get off the floor dont bring me downyoure always talkin bout your crazy nights one of these days youre gonna get it right dont bring me down no no no no no ill tell you once more before i get off the floor dont bring me downdont bring me down gross dont bring me down gross dont bring me down gross dont bring me downyoure lookin good just like a snake in the grass one of these days youre gonna break your glass dont bring me down no no no no no no no no ill tell you once more before i get off the floor dont bring me downyou got me shakin got me runnin away you got me crawlin up to you everyday dont bring me down no no no no no ill tell you once more before i get off the floor dont bring me down down down down down downill tell you once more before i get off the floor dont bring me down 
18,candida,dawn,1970,83,1,70,dawn miscellaneous candida candida dawn the stars wont come out if they know that youre about cause they couldnt match the glow of your eyes and oh who am i  just an ordinary guy tryin hard to win me first prize chorus oh my candida we could make it together the further from here girl the better where the air is fresh and clean oh my candida just take my hand and ill lead ya i promise that life will be sweeter cause it said so in my dreams the future looks bright the gypsy told me so last night said she saw our children playing in the sunshine and there were you and i in a house baby no lie and all these things were yours and they were mine chorus chorus
19,thank you falettinme be mice elf agin,sly  the family stone,1970,82,2,70,lookin at the devil grinnin at his gun fingers start shakin i begin to run bullets start chasin i begin to stop we begin to wrestle i was on the top i want to thank you falettinme be mice elf agin thank you falettinme be mice elf agin stiff all in the collar fluffy in the face chit chat chatter tryin stuffy in the place thank you for the party but i could never stay many thangs on my mind words in the way i want to thank you falettinme be mice elf agin thank you falettinme be mice elf agin dance to the music all night long everyday people sing a simple song mamas so happy mama start to cry papas still singin you can make it if you try i want to thank you falettinme be mice elf agin   oh yeah different strokes for different folks yeah thank you falettinme be mice elf agin flamin eyes of people fear burnin into you many men are missin much hatin what they do youth and truth are makin love dig it for a starter dyin young is hard to take sellin out is harder thank you falettinme be mice elf agin i want to thank you falettinme be mice elf agin thank you falettinme be mice elf agin thank you falettinme be mice elf agin i want to thank you falettinme be mice elf agin i want to thank you falettinme be mice elf agin i want to thank you falettinme be mice elf agin i want to thank you falettinme be mice elf agin
20,spill the wine,eric burdon  war,1970,81,1,70,spill the wine and take that pearl spill the wine and take that pearl spill the wine and take that pearl spill the wine and take that pearl i was once out strolling one very hot summers day when i thought id lay myself down to rest in a big field of tall grass i lay there in the sun and felt it caressing my face and i fell asleep and dreamed i dreamed i was in a hollywood movie and that i was the star of the movie this really blew my mind the fact that me an overfed longhaired leaping gnome should be the star of a hollywood movie but there i was i was taken to a place the hall of the mountain kings i stood high upon a mountain top naked to the world in front of every kind of girl there was black ones round ones big ones crazy ones out of the middle came a lady she whispered in my ear something crazy she said spill the wine and take that pearl spill the wine and take that pearl spill the wine and take that pearl spill the wine and take that pearl i thought to myself what could that mean am i going crazy or is this just a dream now wait a minute i know im lying in a field of grass somewhere so its all in my head and then i heard her say one more time spill the wine and take that pearl spill the wine and take that pearl spill the wine and take that pearl spill the wine and take that pearl i could feel hot flames of fire roaring at my back as she disappeared but soon she returned in her hand was a bottle of wine in the other a glass she poured some of the wine from the bottle into the glass and raised it to her lips and just before she drank it she said spill the wine and take that pearl spill the wine and take that pearl spill the wine and take that pearl spill the wine and take that pearl
21,ooh child,five stairsteps,1970,80,1,70,five stairsteps miscellaneous ooh child ooh child things are gonna get easier ooh child thingsll get brighter some day yeah well get it together and well get it all done some day when your head is much lighter some day yeah well walk in the rays of a beautiful sun some day when the world is much brighter ooh child things are gonna be easier ooh child thingsll be brighter some day yeah well get it together and well get it all done some day when your head is much lighter some day yeah well walk in the rays of a beautiful sun some day when the world is much brighter
22,spirit in the sky,norman greenbaum,1970,79,1,70, when i die and they lay me to rest gonna go to the place thats the best when i lay me down to die goin up to the spirit in the sky goin up to the spirit in the sky thats where im gonna go when i die when i die and they lay me to rest gonna go to the place thats the bestprepare yourself you know its a must gotta have a friend in jesus so you know that when you die hes gonna recommend you to the spirit in the sky gonna recommend you to the spirit in the sky thats where youre gonna go when you die when you die and they lay you to rest youre gonna go to the place thats the bestnever been a sinner i never sinned i got a friend in jesus so you know that when i die hes gonna set me up with the spirit in the sky oh set me up with the spirit in the sky thats where im gonna go when i die when i die and they lay me to rest im gonna go to the place thats the best go to the place thats the best 
23,lay down candles in the rain,melanie,1970,78,1,70, lay down lay down lay it all down let your white birds smile at the ones who stand and frownlay down lay down lay it all down let your white birds smile at the ones who stand and frownwe were so close there was no room we bled inside each others wounds we all had caught the same disease and we all sang the songs of peacelay down lay down lay it all down let your white birds smile at the ones who stand and frownlay down lay down lay it all down let your white birds smile at the ones who stand and frownso raise candles high cause if you dont we could stay black against the night oh raise them higher again and if you do we could stay dry against the rainlay down lay down lay it all down let your white birds smile at the ones who stand and frownlay down lay down lay it all down let your white birds smile at the ones who stand and frownwe were so close there was no room we bled inside each others wounds we all had caught the same disease and we all sang the songs of peacesome came to sing some came to pray some came to keep the dark awayso raise candles high cause if you dont we could stay black against the sky oh oh raise them higher again and if you do we could stay dry against the rainlay down lay down lay it all down let your white birds smile at the ones who stand and frownlay down lay down lay it all down let your white birds smile at the ones who stand and frownlay down lay down lay it all down let your white birds smile at the ones who stand and frownlay down lay down lay it all down let your white birds smile at the ones who stand and frown 
24,ball of confusion thats what the world is today,the temptations,1970,77,2,70, one two one two three four owpeople moving out people moving in why because of the color of their skin run run run but you sure cant hidean eye for an eye a tooth for a tooth vote for me and ill set you free rap on brother rap onwell the only person talking about love thy brother is the preacher and it seems nobodys interested in learning but the teacher segregation determination demonstration integration aggravation humiliation obligation to our nationball of confusion oh yeah thats what the world is today woo hey heythe sale of pills are at an all time high young folks walking round with their heads in the sky the cities ablaze in the summer timeand oh the beat goes onevolution revolution gun control sound of soul shooting rockets to the moon kids growing up too soon politicians say more taxes will solve everythingand the band played onso round and around and around we go where the worlds headed nobody knowsoh great googalooga cant you hear me talking to you just a ball of confusion oh yeah thats what the world is today woo heyfear in the air tension everywhere unemployment rising fast the beatles new records a gasand the only safe place to live is on an indian reservationand the band played oneve of destruction tax deduction city inspectors bill collectors mod clothes in demand population out of hand suicide too many bills hippies moving to the hills people all over the world are shouting end the warand the band played ongreat googalooga cant you hear me talking to you sayin ball of confusion thats what the world is today hey heylet me hear ya let me hear ya let me hear ya sayin ball of confusion thats what the world is today hey hey let me hear ya let me hear ya let me hear ya let me hear ya let me hear ya ball of confusion 
26,which way you goin billy,the poppy family,1970,75,3,70,which way you goin billy can i go too which way you goin billy can i go with you i really love you billy and all this time i thought you loved me billy and you were mine im gonna miss you billy and though im tryin im hurtin so bad billy i cant help cryin you are my whole babe my heart and my soul babe id have nothing to showbabe if you should go away you are my whole babe my heart and my soul babe id have nothing to show babe if you should go which way you going billy or need i ask cause you dont want me billy youre free at last i wont forget you billy for all my life ill always love you billy ill stay your wife you are my whole babe my heart and my soul babe id have nothing to show babe if you should go away you are my whole babe my heart and my soul babe id have nothing to show babe if you should go you are my whole babe my heart and my soul babe id have nothing to show babe if you should go away
27,all right now,free,1970,74,2,70,free fire and water all right now fraserrodgers there she stood  in the streets  smilin from her head to her feet  i said hey what is this now baby  maybe shes in need of a kiss  i said hey whats your name baby  maybe we can see things the same  now dont you wait or hesitate  lets move before they raise the parking rate  all right now baby  its all right now  all right now baby  its all right now  i took her home  to my place  watching every move on her face  she said look whats your game baby  are you tryin to put me in shame  i said slow dont go so fast  dont you think that love could last  she said love lord above  oh now you are tryin to trick me in love  all right now baby  its all right now  all right now baby  its all right now  let me tell you all about it now  took her home  to my place  watching every move on her face  she said look whats your game  are you tryin to put me in shame  baby i said slow slow dont go so fast  dont you think that love could last  she said love lord above  now you are tryin to trick me in love  all right now baby  its all right now  all right now baby  its all right now  all right now baby  its all right now  all right now baby  baby baby its all right  all right now baby  its all right its all right its all right  all right now baby  its all right now  eh we are so happy together  its all right its all right its all right  everything its all right
28,i want you back,the jackson 5,1970,73,2,70,uhh huh huh huh huh let me tell ya now uhh huh when i had you to myself i didnt want you around those pretty faces always made you stand out in a crowd but someone picked you from the bunch one glance was all it took now its much too late for me to take a second look oh baby give me one more chance   show you that i love you wont you please let me back in your heart oh darlin i was blind to let you go let you go baby but now since i see you in his arms   i want you back yes i do now   i want you back ooh ooh baby   i want you back yaa yaa yaa yaa   i want you back naa naa naa naa tryin to live without your love is one long sleepless night let me show you girl that i know wrong from right every street you walk on i leave tear stains on the ground following the girl i didnt even wanna around let me tell you now oh baby all i need is one more chance   show you that i love you wont you please let me back in your heart oh darlin i was blind to let you go let you go baby but now since i see you in his arms a buh buh buh buh a buh buh buh buh all i want a buh buh buh buh all i need a buh buh buh buh all i want a buh buh buh buh all i need oh just one more chance to show you that i love you baby baby baby baby baby baby   i want you back forget what happened then   i want you back let me live again oh baby i was blind to let it go but now since i see you in his arms   i want you back spare me of this cause give back what i lost oh baby i need one more chance i tell ya that i love you baby baby baby i want you back i want you back i want you back
29,julie do ya love me,bobby sherman,1970,72,2,70,julie do ya love me bobby sherman  written by tom bahler  as recorded by bobby sherman  entered the billboard top 40 the week of august 15 1970 and stayed for 13 weeks peaking at 5 the week of september 19 1970 bein alone at night makes me sad girl yeah it brings me down all right tossin and turnin and freezin and burnin and cryin all through the night whoaoh julie julie julie do ya love me julie julie julie do ya care julie julie are ya thinkin of me julie julie will ya still be there we had so much fun together i was sure that you were mine but leavin you baby is drivin me crazy its got me wonderin all the time whoaoh julie julie julie do ya love me ah julie julie julie do ya care julie julie are ya thinkin of me julie julie will ya still be there honey you cried the day i left you even though we knew i couldnt stay but baby remember ill be back september but till then ill write you every day whoaoh julie julie julie do ya love me ah julie julie julie do ya care come on julie julie are ya thinkin of me julie julie will ya still be there ohoh julie julie julie do ya love me ah julie julie julie do ya care julie julie are ya thinkin of me julie julie will ya still be there
30,greeneyed lady,sugarloaf,1970,71,1,70, greeen eyed lady lovely lady strolling slowly towards the sungreen eyed lady ocean lady soothing every wave that comesgreen eyed lady passions lady dressed in love she lives for life to begreen eyed lady feels like i never see setting suns and lonely lovers freeorgan solo long instrumental breakgreen eyed lady windswept lady moves the night the waves the sandgreen eyed lady ocean lady child of nature friend of mangreen eyed lady passions lady dressed in love she lives for life to begreen eyed lady feels like i never see setting sons and lonely lovers free 
31,signed sealed delivered im yours,stevie wonder,1970,70,1,70, like a fool i went and stayed too long now im wondering if your loves still strong oo baby here i am signed sealed delivered im yoursthen that time i went and said goodbye now im back and not ashamed to cry oo baby here i am signed sealed delivered im yourshere i am baby oh youve got the future in your hand signed sealed delivered im yours here i am baby oh youve got the future in your hand signed sealed delivered im yours ive done a lot of foolish things that i really didnt mean hey hey yea yea didnt i oh babyseen a lot of things in this old world when i touched them they did nothing girl oo baby here i am signed sealed delivered im yours oh im yoursooo babe you set my soul on fire thats why i know you are my only desire ooo baby here i am signed sealed delivered im yourshere i am baby oh youve got the future in your hand signed sealed delivered im yours here i am baby oh youve got the future in your hand signed sealed delivered im yours ive done a lot of foolish things that i really didnt mean i could be a broken man but here i amwith your future got your future babe here i am baby here i am baby signed sealed delivered im yours here i am baby here i am babyhere i am baby still signed signed sealed delivered sealed delivered im yours yeah 
32,ride captain ride,blues image,1970,69,1,70,blues image open ride captain ride  seventythree men sailed up from the san francisco bay rolled off of their ship and heres what they had to say were callin everyone to ride along to another shore we can laugh our lives away and be free once more but no one heard them callin no one came at all cause they were too busy watchin those old raindrops fall as a storm was blowin out on the peaceful sea seventythree men sailed off to history ride captain ride upon your mystery ship be amazed at the friends you have here on your trip ride captain ride upon your mystery ship on your way to a world that others might have missed instrumental seventythree men sailed up from the san francisco bay got off their ship and heres what they had to say were callin everyone to ride along to another shore we can laugh our lives away and be free once more ride captain ride upon your mystery ship be amazed at the friends you have here on your trip ride captain ride upon your mystery ship on your way to a world that others might have missed ride captain ride upon your mystery ship be amazed at the friends you have here on your trip  michael holl locutusimsaedu
33,venus,shocking blue,1970,68,3,70, a goddess on a mountain top was burning like a silver flame the summit of beauty and love and venus was her nameshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desireher weapons were her crystal eyes making every man mad black as the dark night she was got what noone else had wowshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desireahahahahahahah ahahahahahahahshes got it yeah baby shes got it well im your venus im your fire at your desire well im your venus im your fire at your desire 
34,instant karma,john lennon,1970,67,1,70, instant karmas gonna get you gonna knock you right on the head you better get yourself together pretty soon youre gonna be dead what in the world you thinking of laughing in the face of love what on earth you tryin to do its up to you yeah youinstant karmas gonna get you gonna look you right in the face better get yourself together darlin join the human race how in the world you gonna see laughin at fools like me who in the hell dyou think you are a super star well right you arewell we all shine on like the moon and the stars and the sun well we all shine on evryone come oninstant karmas gonna get you gonna knock you off your feet better recognize your brothers evryone you meet why in the world are we here surely not to live in pain and fear why on earth are you there when youre evrywhere come and get your sharewell we all shine on like the moon and the stars and the sun yeah we all shine on come on and on and on on on yeah yeah alright uh huh ahwell we all shine on like the moon and the stars and the sun yeah we all shine on on and on and on on and onwell we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun yeah we all shine on like the moon and the stars and the sun 
35,patches,clarence carter,1970,66,1,70, i was born and raised down in alabama on a farm way back up in the woods i was so ragged that folks used to call me patches papa used to tease me about it cause deep down inside he was hurt cause hed done all he couldmy papa was a great old man i can see him with a shovel in his hands see education he never had he did wonders when the times got bad the little money from the crops he raised barely paid the bills we madefor life had kick him down to the ground when he tried to get up life would kick him back down one day papa called me to his dyin bed put his hands on my shoulders and in his tears he saidhe said patches im dependin on you son to pull the family through my son its all left up to youtwo days later papa passed away and i became a man that day so i told mama i was gonna quit school but she said that was daddys strictest ruleso every mornin fore i went to school i fed the chickens and i chopped wood too sometimes i felt that i couldnt go on i wanted to leave just run away from home but i would remember what my daddy said with tears in his eyes on his dyin bedhe said patches im dependin on you son i tried to do my best its up to you to do the restthen one day a strong rain came and washed all the crops away and at the age of 13 i thought i was carryin the weight of the whole world on my shoulders and you know mama knew what i was goin through causeevery day i had to work the fields cause thats the only way we got our meals you see i was the oldest of the family and everybody else depended on me every night i heard my mama pray lord give him the strength to make another dayso years have passed and all the kids are grown the angels took mama to a brand new home lord knows people i shedded tears but my daddys voice kept me through the yearssing patches im dependin on you son to pull the family through my son its all left up to youoh i can still hear papas voice sayin patches im dependin on you son ive tried to do my best its up to you to do the resti can still hear papa what he said patches im dependin on you son to pull the family through my son its all left up to you 
36,lookin out my back door,creedence clearwater revival,1970,65,0,70, just got home from illinois lock the front door oh boy got to sit down take a rest on the porch imagination sets in pretty soon im singindoo doo doo lookin out my back doortheres a giant doing cartwheels a statue wearin high heels look at all the happy creatures dancing on the lawn a dinosaur victrola listning to buck owensdoo doo doo lookin out my back doortambourines and elephants are playing in the band wont you take a ride on the flyin spoon doo doo doo wondrous apparition provided by magiciandoo doo doo lookin out my back doortambourines and elephants are playing in the band wont you take a ride on the flyin spoon doo doo doo bother me tomorrow today ill buy no sorrowsdoo doo doo lookin out my back doorforward troubles illinois lock the front door oh boy look at all the happy creatures dancing on the lawn bother me tomorrow today ill buy no sorrowsdoo doo doo lookin out my back door 
