RANK,SONG,ARTIST,YEAR,WEIGHT,SENT,DECADE,LYRICS
13,cruisin,smokey robinson,1980,88,2,80, cruisinbaby lets cruise away from here dont be confused the way is clear and if you want it you got it forever this is not a one night stand babylet the music take your mind just release and you will find youre gonna fly away glad youre going my way i love it when were cruisin togetherthe music is played for love cruisin is made for love i love it when were cruisin togetherbaby tonight belongs to us everythings right do what you must and inch by inch we get closer and closer to every little part of each other oh baby yeslet the music take your mind just release and you will find youre gonna fly away glad youre going my way i love it when were cruisin togetherthe music is played for love cruisin is made for love i love it when were cruisin togethercruise with me baby cruise with me baby cruisinso good to cruise with you baby so good to cruise with you baby you and me yeah you and me babybaby lets cruise lets flow lets glide ooh lets open up and go insideand if you want it you got it forever i can just stay there inside you and love you baby ohlet the music take your mind just release and you will find youre gonna fly away glad youre going my way i love it when were cruisin togetherthe music is played for love cruisin is made for love i love it when were cruisin togetheroh baby we gonna fly away plan to go my way i love it when were cruisin togetherthe music is played for love cruisin is made for love i love it when were cruisin togetheryoure gonna fly away and youre going my way i love it when were cruisin togetherthe music is played for love cruisin is made for love i love it when were cruisin togetheryoure gonna fly away and youre going my way i love it when were cruisin togetherthe music is played for love cruisin is made for love i love it when were cruisin together 
14,working my way back to youforgive me girl,the spinners,1980,87,1,80,ill keep working my way back to you babe with a burning love inside hey im working my way back to you babe and the happiness that died i let it get away been paying every day when you were so in love with me i played around like i was free thought i could have my cake and eat it too but how i cried over losing you see im down and out but i aint about to go living my life without you hey every day i made you cry ill pay and girl til the day i die ill keep working my way back to you babe with a burning love inside yeah im working my way back to you babe and the happiness that died i let it get away been paying every day oh i used to love to make you cry it made me feel like a man inside if i had been a man in reality youd be here baby loving me now my nights are long and lonely and i aint too proud babe i just miss you so girl but youre too proud and you wont give in but when i think about all i could win ill keep working my way back to you babe with a burning love inside yeah im working my way back to you babe and the happiness that died i let it get away been paying every day   you you babe my road is kind of long   you you babe i just gotta get back home im really sorry for acting that way im really sorry little girl im really sorry for telling you lies for so long oh please forgive me girl come on give me a chance wont you forgive me girl hey lets have romance forgive me girl lets try again come on forgive me girl i want you over and over and over and over again ill keep working my way back to you babe with a burning love inside yeah im working my way back to you babe and the happiness that died i let it get away been paying every day ill keep working my way back to you babe yeah burning love inside
15,lost in love,air supply,1980,86,3,80, i realized the best part of love is the thinnest slice and it dont count for much but im not letting go i believe theres still much to believe inso lift your eyes if you feel you can reach for a star and ill show you a plan i figured it out what i needed was someone to show meyou know you cant fool me ive been loving you too long it started so easy you want to carry onlost in love and i dont know much was i thinking aloud and fell out of touch but im back on my feet and eager to be what you wantedso lift your eyes if you feel you can reach for a star and ill show you a plan i figured it out what i needed was someone to show meyou know you cant fool me ive been loving you too long it started so easy you want to carry onlost in love and i dont know much was i thinking aloud and fell out of touch but im back on my feet and eager to be what you wantedyou know you cant fool me ive been loving you too long it started so easy you want to carry onlost in love and i dont know much was i thinking aloud and fell out of touch but im back on my feet eager to be what you wantednow im lost lost in love lost in love lost in love now im lost im lost in love lost in love lost in lovelost in love lost in love lost in love lost in love lost in love lost in love 
16,little jeannie,elton john,1980,85,1,80, oh little jeannie you got so much love little jeannie and you take it where it strikes and give it to the likes of me oh little jeannie she got so much love little jeannie so i see you when i can you make me all a man can beand i want you to be my acrobat i want you to be my lover oh there were others who would treat you cruel and oh jeannie you were always someones foollittle jeannie you got so much time little jeannie though youve grown beyond your years you still retain the fears of youth oh little jeannie you got so much time little jeannie but youre burning it up so fast searching for some lasting truthand i want you to be my acrobat i want you to be my lover oh there were others who would treat you cruel but oh jeannie i will always be your fooland i want you to be my acrobat i want you to be my lover oh there were others and ive known quite a few but oh oh jeannie im still in love with youyou stepped into my life from a bad dream making the life that i had seem suddenly shiny and new oh jeannie im so in love with youyou stepped into my life from a bad dream making the life that i had seem suddenly shiny and new oh jeannie im so in love with youyou stepped into my life from a bad dream making the life that i had seem suddenly shiny and new oh jeannie im so in love with you  
17,ride like the wind,christopher cross,1980,84,1,80, it is the night my bodys weak im on the run no time for sleep ive got to ride ride like the wind to be free againand ive got such a long way to go such a long way to go to make it to the border of mexico so ill ride like the wind ride like the windi was born the son of a lawless man always spoke my mind with a gun in my hand lived nine lives gunned down ten gonna ride like the windand ive got such a long way to go such a long way to go to make it to the border of mexico so ill ride like the wind ride like the wind gonna ride the windaccused and tried and told to hang i was nowhere in sight when the church bells rang never was the kind to do as i was told gonna ride like the wind before i get oldit is the night my bodys weak im on the run no time for sleep ive got to ride ride like the wind to be free againand ive got such a long way to go such a long way to go to make it to the border of mexico so ill ride like the wind ride like the windand ive a long way to go such a long way to go to make it to the border of mexico so ill ride like the wind ride like the wind gonna ride the windride ride like the wind ride 
18,upside down,diana ross,1980,83,1,80, i said upside down youre turning me youre giving love instinctively around and round youre turning meupside down boy you turn me inside out and round and round upside down boy you turn me inside out and round and roundinstinctively you give to me the love that i need i cherish the moments with you respectfully i see to thee im aware that youre cheating when no one makes me feel like you doupside down boy you turn me inside out and round and round upside down boy you turn me inside out and round and roundi know you got charm and appeal you always play the field im crazy you are mine as long as the sun continues to shine theres a place in my heart for you thats the bottomlineupside down boy you turn me inside out and round and round upside down boy you turn me inside out and round and roundinstinctively you give to me the love that i need i cherish the moments with you respectfully i see to thee im aware that youre cheating but no one makes me feel like you doupside down boy you turn me inside out and round and round upside down boy you turn me inside out and round and roundupside down boy you turn me inside out and round and round upside down boy you turn me inside out and round and roundupside down youre turning me youre giving love instinctively around and round youre turning me i see to thee respectfullyupside down youre turning me youre giving love instinctively around and round youre turning me i see to thee respectfullyi said a upside down youre turning me youre giving love instinctively around and round youre turning me 
20,babe,styx,1980,81,1,80, babe im leaving i must be on my way the time is drawing near my train is going i see it in your eyes the love the need your tears but ill be lonely without you and ill need your love to see me through so please believe me my heart is in your hands and ill be missing youcause you know its you babe whenever i get weary and ive had enough feel like giving up you know its you babe giving me the courage and the strength i need please believe that its true babe i love youyou know its you babe whenever i get weary and ive had enough feel like giving up you know its you babe giving me the courage and the strength i need please believe that its true babe i love youbabe im leaving ill say it once again and somehow try to smile i know the feeling were trying to forget if only for a while cause ill be lonely without you and ill need your love to see me through please believe me my heart is in your hands cause ill be missing you babe i love you babe i love you ooh babe 
21,with you im born again,billy preston and syreeta,1980,80,0,80, come bring me your softness comfort me through all this madness woman dont you know with you im born againcome give me your sweetness now theres you there is no weakness lying safe within your arms im born againi was half not whole in step with none reaching through this world in need of onecome show me your kindness in your arms i know ill find this woman dont you know with you im born again lying safe with you im born againcome bring me your softness comfort me through all this madness woman dont you know with you im born againcome bring me your sweetness now theres you there is no weakness lying safe within your arms im born again woman dont you know with you im born againi was half not whole in step with none reaching through this world in need of onecome show me your kindness in your arms i know ill find this woman dont you know with you im born again lying safe with you im born again 
22,shining star,the manhattans,1980,79,1,80,ooh yeah honey you are my shining star dont you go away oh baby wanna be right here where you are till my dying day yeah baby so many have tried tried to find a love like yours and mine girl dont you realize how you hypnotize make me love you each time yeah baby honey i know i leave you lonely give my love to you only to you only to you only honey you are my shining star dont you go away no baby wanna be right here where you are till my dying day yeah baby feel so good when were lying here next to each other lost in love yeah baby baby when we touch i love you so much youre all i have with me now yeah baby honey i know i leave you lonely give my love to you only to you only to you only honey you are my shining star dont you go away girl no baby wanna be right here where you are till my dying day honey you are my shining star you are my shining star dont you go away ooh baby honey you are my shining star dont you go away ooh baby honey right here where you are till my dying day ah yeah honey you are my shining star my shining star honey you you are my star dont you go away yeah baby honey you are my shining star dont you go away ooh baby honey you you you you
23,still,commodores,1980,78,1,80, lady mornings just a moment away and im without you once again you laughed at me you said youve never needed me i wonder if you need me now so many dreams that flew away so many words we didnt say two people lost in a storm where did we go whered we go we lost what we both had found you know we let each other down but then most of all i do love you stillwe played the games that people play we made our mistakes along the way somehow i know deep in my heart you needed me cause i needed you so desperately we were too blind to see but then most of all i do love you still 
25,sexy eyes,dr hook,1980,76,1,80, i was sitting all alone watching people getting off with each other they were dancing cross the floor turning movement back and forth they were loversone more lonely night for me i looked up what did i seesexy eyes moving cross the floor couldnt want for more sexy eyes sexy eyes getting down with you i wanna move with you sexy eyesi got up and took your hand and we both began to dance to the music ooh your magic cast a spell it didnt take long til we fell and we knew itno more lonely nights for me this is how its gonna besexy eyes moving cross the floor couldnt want for more sexy eyes sexy eyes getting down with you i wanna move with you sexy eyesno more lonely nights for me this is how its gonna besexy eyes moving cross the floor couldnt want for more sexy eyes sexy eyes getting down with you i wanna move with you sexy eyesooh sexy eyes getting down with you i wanna move with you sexy eyes sexy eyes getting down with you i wanna move with you sexy eyes 
26,steal away,robbie dupree,1980,75,0,80, come on and hold me just like you told me then show me what i want to knowwhy dont we steal away why dont we steal away into the night i know it aint rightdont tease me why dont you please me and show me what you came here forwhy dont we steal away why dont we steal away into the night i know it aint right into the night babe baby tonightooh i caught you glancing my way and i know what youre after no second chances tonightwhy dont we steal away why dont we steal away why dont we steal away why dont we steal away into the night i know it aint right into the night i know it aint rightwhy dont we steal away i know it aint right into the night babe why dont we steal away make it tonight why dont we steal away 
27,biggest part of me,ambrosia,1980,74,1,80, wwwho be the best wwwho be the bestsunrise theres a new sun arisin in your eyes i can see a new horizon realize that will keep me realizin youre the biggest part of mestay the night need your lovin here beside me shine the light need you close enough to guide me all my life ive been hopin you would find me youre the biggest part of memake a wish baby wish and it will come true well and i will make it come true make a list baby make a list of the things for you of the things ill do for youaint no risk now let my love rain down on you so we could wash away the past so that we may start anewrainbow risin over my shoulder love flows gettin better as were older all i know all i want to do is hold her shes the life that breathes in meforever got a feelin that forever together we are gonna stay together forever for me theres nothin better youre biggest part of memake a wish baby wish and it will come true well and i will make it come true make a list baby make a list of the things for you of the things ill do for youaint no risk now let my love rain down on you so we could wash away the past so that we may start anewwish and it will come true make a list of the things for you aint no risk now let my love rain down on you so we could wash away the past so that we may start anewbeside me need your lovin here beside me to guide me keep it close enough to guide me inside of me from the fears that are inside of me youre the biggest part of meforever got a feelin that forever together we are gonna stay together forever from now until forever youre the biggest part of mewwwho be the bestmake a wish baby wish and it will come true well and i will make it come true make a list baby make a list of the things for you of the things ill do for youaint no risk now let my love rain down on you so we could wash away the past so that we may start anewwwwho be the best wwwho be the bestwish baby wish baby wish baby 
28,this is it,kenny loggins,1980,73,2,80, thereve been times in my life ive been wondering why still somehow i believed wed always survivenow im not so sure youre waiting to hear one good reason to try but what more can i say whats left to provideyou think that maybe its over only if you want it to be are you gonna wait for your sign your miracle stand up and fightthis is it make no mistake where you are this is it your backs to the corner this is it dont be a fool anymore this is it the waiting is overno room to run no way to hide no time for wondering why its here the moment is now about to decidelet him believe or leave him behind but keep me near in your heart and know whatever you do im here by your sideyou said that maybe its over not if you dont want it to be for once in your life heres your miracle stand up and fightthis is it make no mistake where you are this is it youre going no further this is it until its over and doneno one can tell you what you know who makes the choice of how it goes its not up to me this time you know there comes a day in every lifethis is it make no mistake where you are this is it youre going no further this is it until its over and done this is it one way or another this is itno one can tell what the future holds this is it your backs to the corner this is it you make the choice of how it goes this is it the waiting is over this is itno one can tell what the future holds this is it youre going no further this is it you make the choice of how it goes 
31,dont fall in love with a dreamer,kenny rogers  kim carnes,1980,70,0,80,just look at you sitting there you never looked better than tonight and itd be so easy to tell you id stay like ive done so many times i was so sure this would be the night youd close the door and wanna stay with me and itd be so easy to tell you id wait like ive done so many times dont fall in love with a dreamer because hell always take you in just when you think youve really changed him hell leave you again dont fall in love with a dreamer because hell break you every time so put out the light and just hold on before we say goodbye now its morning and the phone rings and ya say you gotta get your things together you just gotta leave before you change your mind and you know what i was thinking id turn around if youd just ask me one more time dont fall in love with a dreamer because hell always take you in just when you think youve really changed him hell leave you again dont fall in love with a dreamer because hell break you every time so put out the light and just hold on before we say goodbye
32,sailing,christopher cross,1980,69,1,80, well its not far down to paradise at leasts not for me if the wind is right you can sail away and find tranquility oh the canvas can do miracles just you wait and see believe meits not far to never never land reason to pretend and if the wind is right you can find the joy of innocence again oh the canvas can do miracles just you wait and see believe mesailing takes me away to where ive always heard it just a dream and the wind to carry me soon i will be freefantasy it gets the best of me when im sailing all caught up in the reverie every word is a symphony wont you believe mesailing takes me away to where ive always heard it just a dream and the wind to carry me soon i will be freeits not far back to sanity at least its not for me and when the wind is right you can sail away and find serenity oh the canvas can do miracles just you wait and see believe mesailing takes me away to where ive always heard it just a dream and the wind to carry me soon i will be free 
33,longer,dan fogelberg,1980,68,1,80, longer than therve been fishes in the ocean higher than any bird ever flew longer than thereve been stars up in the heavens ive been in love with youstronger than any mountain cathedral truer than any tree ever grew deeper than any forest primeval i am in love with youill bring fire in the winters youll send showers in the springs well fly through the falls and summers with love on our wingsthrough the years as the fire starts to mellow burning lines in the book of our lives though the binding cracks and the pages start to yellow ill be in love with you ill be in love with you 
34,coward of the county,kenny rogers,1980,67,1,80, everyone considered him the coward of the county hed never stood one single time to prove the county wrong his mama named him tommy but folks just called him yellow something always told me they were reading tommy wronghe was only ten years old when his daddy died in prison i looked after tommy cause he was my brothers son i still recall the final words my brother said to tommy son my life is over but yours has just begunpromise me son not to do the things ive done walk away from trouble if you can it wont mean youre weak if you turn the other cheek i hope youre old enough to understand son you dont have to fight to be a mantheres someone for everyone and tommys love was becky in her arms he didnt have to prove he was a man one day while he was working the gatlin boys came calling they took turns at becky nthere was three of themtommy opened up the door and saw his becky crying the torn dress the shattered look was more than he could stand he reached above the fireplace and took down his daddys picture as the tears fell on his daddys face he heard these words againpromise me son not to do the things ive done walk away from trouble if you can now it wont mean youre weak if you turn the other cheek i hope youre old enough to understand son you dont have to fight to be a manthe gatlin boys just laughed at him when he walked into the barroom one of them got up and met him halfway cross the floor when tommy turned around they said hey look old yellers leaving but you couldve heard a pin drop when tommy stopped and locked the doortwenty years of crawling was bottled up inside him he wasnt holding nothin back he let em have it all when tommy left the barroom not a gatlin boy was standing he said this ones for becky as he watched the last one falland i heard him say i promised you dad not to do the things youve done i walk away from trouble when i can now please dont think im weak i didnt turn the other cheek and papa i sure hope you understand sometimes you gotta fight when youre a maneveryone considered him the coward of the county 
35,ladies night,kool  the gang,1980,66,2,80,mmm oh yeah oh what a night oh yes its ladies night and the feelings right oh yes its ladies night oh what a night oh what a night oh yes its ladies night and the feelings right oh yes its ladies night oh what a night girls yall got the one a night thats special everywhere from new york to hollywood its ladies night and girl the feelings good oh yes its ladies night and the feelings right oh yes its ladies night oh what a night oh what a night oh yes its ladies night and the feelings right oh yes its ladies night oh what a night romantic lady single baby mmm sophisticated mama come on you disco lady yeah stay with me tonight mama yeah if you hear any noise it aint the boys its ladies night uh huh gonna step out ladies night steppin out ladies night gonna step out ladies night steppin out ladies night oh yes its ladies night and the feelings right oh yes its ladies night oh what a night oh what a night oh yes its ladies night and the feelings right oh yes its ladies night oh what a night on disco lights your name will be seen you can fulfill all your dreams party here party there everywhere this is your night baby youve got to be there well this is your night tonight everything is gonna be alright this is your night tonight everything is gonna be alright this is your night tonight everything is gonna be alright this is your night tonight everything is gonna be alright this is your night tonight   come on lets all celebrate everything is gonna be alright this is your night tonight everything is gonna be alright 
36,too hot,kool  the gang,1980,65,1,80,at seventeen we fell in love high school sweethearts love was so brand new we took the vows of man and wife forever for life i remember how we made our way a little patience the time we prayed cant imagine that this love is through feeling the pain girl when you lose oh its too hot too hot too hot lady too hot gotta run for shelter gotta run for shade its too hot too hot too hot lady too hot gotta cool this anger what a mess we made so long ago you were my love oh my love flyin high we never took the time to stop and feel the need funny how those years go by changing you changing me i remember loves fever in our hearts girl and in our minds cant imagine that this love is through feeling the pain girl when you lose oh its too hot too hot too hot lady too hot gotta run for shelter gotta run for shade its too hot too hot too hot lady too hot gotta cool this anger what a mess we made so long ago you were my love feeling the pain oh its too hot too hot too hot lady too hot gotta run for shelter gotta run for shade its too hot too hot too hot lady too hot gotta cool this anger from this mess that we made its too hot too hot too hot lady too hot gotta run for shelter gotta run for shade its too hot too hot so so hot lady too hot
37,take your time do it right,the sos band,1980,64,3,80,lets do it lets do it ooh baby take your time lets do it come on baby ooh baby take your time lets do it you know you ought to slow down you been working too hard and thats a fact sit back and relax a while take some time to laugh and smile lay your heavy load down so we can stop and kick back it seems we never take the time to do all the things we want to yeah now baby we can do it take the time do it right we can do it baby do it tonight baby we can do it take the time do it right we can do it baby do it tonight the love i feel for you you feel for me one life is all we have to live our love is all we have to give yeah there are so many things for us to do and see lets take some time to be alone lock the door pull out the phone yeah now baby we can do it take the time do it right we can do it baby do it tonight baby we can do it take the time do it right we can do it baby do it tonight baby we can do it take the time do it right we can do it baby do it tonight baby we can do it take the time do it right we can do it baby do it tonight take your time take the time take the time take the time do it lets do it lets do it do it right cmon baby lets do it if it takes all night cmon baby lets do it lets do it do it right cmon honey lets do it if it takes all night lets do it lets do it lets do it do it right cmon baby lets do it if it takes all night cmon honey lets do it lets do it tonight we can do it we can do it lets do it do it right baby we can do it take the time do it right we can do it baby do it tonight baby we can do it take the time do it right we can do it baby do it tonight
38,no more tears enough is enough,barbra streisand  donna summer,1980,63,1,80,its raining its pouring my lovelife is boring me to tears after all these years no sunshine no moonlight no stardust no sign of romance we dont stand a chance ive always dreamed i d find the perfect lover but he turned out to be like every other man our love our love raining raining pouring pouring theres nothing left for us here and we wont waist another tear if youve had enough dont put up with his stuff dont you do it if youve had your fill get the check pay the bill you can do it tell him to just get out nothing left to talk about pack his raincoat show him out just look him in the eyes and simple shout enough is enough i cant go on i cant go on no more no enough is enough i want him out i want him out that door now ive always dreamed to find the perfect lover but he turns out to be like every other man our love i had no choice from the start our love ive gotta listen to my heart our love tearing us apart enough is enough is enough i cant go on i cant go on no more no enough is enough is enough i want him out i want him out that door now goodbye mister goodbye goodbye mister goodbye sugar no more tears no more tears no more tears ive had it youve had it hes had it weve had it enough is enough is enough is enough is enough is enough is enough is enough is enough is enough is enough is enough
39,more love,kim carnes,1980,62,1,80, let it be soon dont hesitate make it now dont wait open your heart and let my love come in i want the moment to start when i can fill your heart withmore love and more joy than age or time could ever destroy oh honey now my love will be so sound gonna take about a hundred life times to live it down wear it down and tear it downthis is no fiction this is no act this is real its a fact ill always belong only to you and each day ill be living to make sure im giving youmore love and more joy than age or time could ever destroy oh honey now my love will be so sound itll take a hundred life times to live it down wear it down and tear it downas we grow older no need to fear cause when you need me ill be here ill be beside you every step of the way a heart thats truthful and is keeping it youthful withmore love and more joy than age or time could ever destroy oh honey now my love will be so sound itll take a hundred life times to live it down oh wear it down and tear it downi wanna give you more love and more joy than age or time could ever destroy oh honey now my love will be so sound just to live it down i wanna give you more love and more joy than age or time could ever destroy 
40,pop muzik,m,1980,61,1,80,m new york london paris munich pop muzik robin scott pop pop pop muzik pop pop pop muzik radio video boogie with a suitcase youre living in a disco forget about the rat race lets do the milkshake youre selling like a hot cake try some buy some fee fy foe fum talk about pop muzik talk about pop muzik shoobi doobi do whap i wanna dedicate it bop bop shoo whap everybody made it shoobi doobi do whap infiltrate it bop bop shoo whap activate it new york london paris munich everybody talk about pop muzik talk about pop muzik talk about pop muzik pop pop pop muzik pop pop pop muzik sing it in the subway shuffle with a shoe shine mix me a molotov im on the hit line if you wanna be a gun slinger dont be a rock singer eenie meenie miny moe whichaway you wanna go talk about pop muzik talk about pop muzik shoobi doobi do whap right in between me bop bop shoo whap me me me me shoobi doobi do whap right in betweenie bop bop shoo whap hit it now you know what to say talk about pop muzik talk about pop muzik pop pop pop muzik pop pop pop muzik all around the world where ever you are dance in the street anything you like do it in your car in the middle of the night la la la la la la la la la la la la la la la la dance in the super mart dig it in the fast lane listen to the countdown theyre playing our song again i cant get jumping jack i wanna hold get back moonlight muzak knick knack paddywack talk about pop muzik talk about pop muzik shoobi doobi do whap its all around you bop bop shoo whap they wanna surround you shoobi doobi do whap its all around you bop bop shoo whap hit it new yorklondonparismunich everybody talk about m pop muzik talk about pop muzik talk about pop muzik pop pop pop muzik pop pop pop muzik nowlisten do you read me loud and clear get it down wrong way round upside down left right left right
